SKU,Name,Description,Price,Regular Price,Sale Price,Stock,Category,Visibility,Image URL,Attribute 1 Name,Attribute 1 Value(s),Attribute 2 Name,Attribute 2 Value(s),Attribute 3 Name,Attribute 3 Value(s)
OIL-MOT-001,Motul 300V 10W-40 1L,Fully synthetic racing oil – exceptional engine protection for high-performance motorcycles.,24.99,29.99,,instock,Engine Oil,visible,https://example.com/images/motul-300v.jpg,Viscosity,10W-40,Volume,1L,Type,Synthetic
OIL-MOT-002,Motul 7100 5W-40 1L,100% synthetic Ester technology for maximum power and reduced wear.,29.99,34.99,,instock,Engine Oil,visible,https://example.com/images/motul-7100.jpg,Viscosity,5W-40,Volume,1L,Type,Synthetic
OIL-CAS-001,Castrol Power1 20W-50 1L,Semi-synthetic 4T oil, excellent gear shift performance and engine cleanliness.,17.99,19.99,,instock,Engine Oil,visible,https://example.com/images/castrol-power1.jpg,Viscosity,20W-50,Volume,1L,Type,Semi-Synthetic
OIL-CAS-002,Castrol Activ 10W-40 1L,Mineral oil for daily commuters, good for older engines.,9.99,12.99,8.99,instock,Engine Oil,visible,https://example.com/images/castrol-activ.jpg,Viscosity,10W-40,Volume,1L,Type,Mineral
OIL-SHE-001,Shell Advance Ultra 15W-50 1L,PurePlus technology, superior engine cleanliness and wear protection.,22.99,26.99,,instock,Engine Oil,visible,https://example.com/images/shell-ultra.jpg,Viscosity,15W-50,Volume,1L,Type,Synthetic
OIL-SHE-002,Shell Advance AX7 10W-40 1L,Semi-synthetic, good for everyday riding and light touring.,13.99,15.99,,instock,Engine Oil,visible,https://example.com/images/shell-ax7.jpg,Viscosity,10W-40,Volume,1L,Type,Semi-Synthetic
OIL-LIQ-001,Liqui Moly 10W-30 4T 1L,Molybdenum additive reduces friction, prolongs engine life.,24.99,29.99,22.99,instock,Engine Oil,visible,https://example.com/images/liqui-moly-10w30.jpg,Viscosity,10W-30,Volume,1L,Type,Synthetic
OIL-LIQ-002,Liqui Moly 20W-50 1L,High viscosity mineral oil for older or high-mileage engines.,12.99,14.99,,instock,Engine Oil,visible,https://example.com/images/liqui-moly-20w50.jpg,Viscosity,20W-50,Volume,1L,Type,Mineral
OIL-YAM-001,Yamalube 20W-40 1L,Genuine Yamaha oil, formulated for YZF and FZ series.,11.99,13.99,,instock,Engine Oil,visible,https://example.com/images/yamalube-20w40.jpg,Viscosity,20W-40,Volume,1L,Type,Semi-Synthetic
OIL-YAM-002,Yamalube 10W-40 1L,High-performance oil for R15 and MT series.,14.99,17.99,,instock,Engine Oil,visible,https://example.com/images/yamalube-10w40.jpg,Viscosity,10W-40,Volume,1L,Type,Semi-Synthetic
OIL-VAL-001,Valvoline 4T 10W-40 1L,Mineral oil – reliable protection for commuter bikes.,8.99,10.99,7.99,instock,Engine Oil,visible,https://example.com/images/valvoline-10w40.jpg,Viscosity,10W-40,Volume,1L,Type,Mineral
